date,EUR,EUR1m,AUD,AUD1m,CAD,CAD1m,CHF,CHF1m,GBP,GBP1m,JPY,JPY1m,NOK,NOK1m,NZD,NZD1m,SEK,SEK1m
2001-11-01,1.10803324099723,1.1093238671030008,1.964057743297653,1.9674203066893472,1.5952,1.5958649999999999,1.631,1.630855,0.6832001093120175,0.6842730112460269,121.895,121.67099999999999,8.824,8.85925,2.4024024024024024,2.407955886248164,10.5524,10.56645
2001-11-02,1.1077877478675087,1.1091024034249084,1.9656019656019654,1.9689957983598656,1.5907,1.59135,1.6296,1.6295499999999998,0.6836204539239814,0.6847368727382285,121.73,121.51050000000001,8.8248,8.86035,2.407028523288001,2.4126034403725063,10.5836,10.59795
2001-11-05,1.1139578923916675,1.1153867603591545,1.9652156824211455,1.9686853040791947,1.5931,1.593775,1.64005,1.64001,0.6854949273375377,0.6866410549553168,121.66,121.42999999999999,8.8338,8.86995,2.4052916416115453,2.4111782222382967,10.5709,10.58565
2001-11-06,1.1176930814798256,1.1191127673980068,1.948747929455325,1.952453462783601,1.593,1.593775,1.6458,1.645835,0.6862005077883757,0.6873383680868795,121.24,121.03,8.8793,8.9189,2.3823704586063132,2.388202280733178,10.5786,10.594949999999999
2001-11-07,1.1140819964349378,1.1153401090244957,1.9396760740956263,1.9433909645923884,1.5972499999999998,1.5979249999999998,1.63605,1.636055,0.6832234482287433,0.6843526195307394,121.03,120.82000000000001,8.8344,8.87195,2.3806689679800024,2.386264660613509,10.4895,10.50525
2001-11-08,1.1205737337516808,1.1218622914037304,1.9411821799475881,1.9447776496817564,1.59875,1.599335,1.6407500000000002,1.640905,0.6876396768093519,0.6886767764417447,120.11,119.9025,8.8523,8.88865,2.378969906030689,2.384443888074204,10.5422,10.557549999999999
2001-11-09,1.1186933661483387,1.1198835321126603,1.941936110301971,1.9455203712519793,1.60285,1.603355,1.6388,1.638955,0.6867424372489098,0.6877650044532784,120.315,120.109,8.7974,8.83375,2.3823704586063132,2.3878601191542197,10.5133,10.528599999999999
2001-11-12,1.1190689346463742,1.1204042418504596,1.9228920296125371,1.9265692002464467,1.6042,1.604695,1.6383,1.6384800000000002,0.6876633200385092,0.6887669006178239,120.53,120.309,8.8614,8.89785,2.3649048125812935,2.3706232368489677,10.5444,10.56005
2001-11-13,1.1350737797956867,1.136370093011892,1.919570016316345,1.923516742578255,1.5935000000000001,1.5940550000000002,1.6702,1.670415,0.6938180808991882,0.6948715008876983,121.57,121.35499999999999,8.9296,8.968250000000001,2.364345667336565,2.369977129720698,10.613,10.62945
2001-11-14,1.1334013374135783,1.1346198030867332,1.9247425656818402,1.928559967415051,1.59185,1.592385,1.6646999999999998,1.664915,0.693625580911424,0.6946542879272558,121.56,121.35000000000001,8.9132,8.95125,2.381235861412073,2.3867772540127694,10.5773,10.593499999999999
